Train_name,Station_name,Arrive_time,Departure_time,direction
1,Tiantongyuanbei,----,5:20,1
1,Songjiazhuang,6:05,----,1
2,Tiantongyuanbei,#VALUE!,6:00,1
2,Songjiazhuang,6:45,#VALUE!,1
3,Tiantongyuanbei,#VALUE!,6:40,1
3,Songjiazhuang,7:25,#VALUE!,1
4,Tiantongyuanbei,#VALUE!,7:00,1
4,Songjiazhuang,7:45,#VALUE!,1
5,Tiantongyuanbei,#VALUE!,7:20,1
5,Songjiazhuang,8:05,#VALUE!,1
6,Tiantongyuanbei,#VALUE!,7:40,1
6,Songjiazhuang,8:25,#VALUE!,1
7,Tiantongyuanbei,#VALUE!,8:00,1
7,Songjiazhuang,8:45,#VALUE!,1
8,Tiantongyuanbei,#VALUE!,8:20,1
8,Songjiazhuang,9:05,#VALUE!,1
9,Tiantongyuanbei,#VALUE!,8:40,1
9,Songjiazhuang,9:25,#VALUE!,1
10,Tiantongyuanbei,#VALUE!,9:00,1
10,Songjiazhuang,9:45,#VALUE!,1
11,Tiantongyuanbei,#VALUE!,9:40,1
11,Songjiazhuang,10:25,#VALUE!,1
12,Tiantongyuanbei,#VALUE!,10:20,1
12,Songjiazhuang,11:05,#VALUE!,1
13,Tiantongyuanbei,#VALUE!,11:00,1
13,Songjiazhuang,11:45,#VALUE!,1
14,Tiantongyuanbei,#VALUE!,11:40,1
14,Songjiazhuang,12:25,#VALUE!,1
15,Tiantongyuanbei,#VALUE!,12:20,1
15,Songjiazhuang,13:05,#VALUE!,1
16,Tiantongyuanbei,#VALUE!,13:00,1
16,Songjiazhuang,13:45,#VALUE!,1
17,Tiantongyuanbei,#VALUE!,13:40,1
17,Songjiazhuang,14:25,#VALUE!,1
18,Tiantongyuanbei,#VALUE!,14:20,1
18,Songjiazhuang,15:05,#VALUE!,1
19,Tiantongyuanbei,#VALUE!,15:00,1
19,Songjiazhuang,15:45,#VALUE!,1
20,Tiantongyuanbei,#VALUE!,15:40,1
20,Songjiazhuang,16:25,#VALUE!,1
21,Tiantongyuanbei,#VALUE!,16:20,1
21,Songjiazhuang,17:05,#VALUE!,1
22,Tiantongyuanbei,#VALUE!,17:00,1
22,Songjiazhuang,17:45,#VALUE!,1
23,Tiantongyuanbei,#VALUE!,17:20,1
23,Songjiazhuang,18:05,#VALUE!,1
24,Tiantongyuanbei,#VALUE!,17:40,1
24,Songjiazhuang,18:25,#VALUE!,1
25,Tiantongyuanbei,#VALUE!,18:00,1
25,Songjiazhuang,18:45,#VALUE!,1
26,Tiantongyuanbei,#VALUE!,18:20,1
26,Songjiazhuang,19:05,#VALUE!,1
27,Tiantongyuanbei,#VALUE!,18:40,1
27,Songjiazhuang,19:25,#VALUE!,1
28,Tiantongyuanbei,#VALUE!,19:00,1
28,Songjiazhuang,19:45,#VALUE!,1
29,Tiantongyuanbei,#VALUE!,19:40,1
29,Songjiazhuang,20:25,#VALUE!,1
30,Tiantongyuanbei,#VALUE!,20:20,1
30,Songjiazhuang,21:05,#VALUE!,1
31,Tiantongyuanbei,#VALUE!,21:00,1
31,Songjiazhuang,21:45,#VALUE!,1
32,Tiantongyuanbei,#VALUE!,21:40,1
32,Songjiazhuang,22:25,#VALUE!,1
33,Tiantongyuanbei,#VALUE!,22:20,1
33,Songjiazhuang,23:05,#VALUE!,1
34,Tiantongyuanbei,#VALUE!,23:00,1
34,Songjiazhuang,23:45,#VALUE!,1
35,Songjiazhuang,----,5:20,0
35,Tiantongyuanbei,6:05,----,0
36,Songjiazhuang,#VALUE!,6:00,0
36,Tiantongyuanbei,6:45,#VALUE!,0
37,Songjiazhuang,#VALUE!,6:40,0
37,Tiantongyuanbei,7:25,#VALUE!,0
38,Songjiazhuang,#VALUE!,7:00,0
38,Tiantongyuanbei,7:45,#VALUE!,0
39,Songjiazhuang,#VALUE!,7:20,0
39,Tiantongyuanbei,8:05,#VALUE!,0
40,Songjiazhuang,#VALUE!,7:40,0
40,Tiantongyuanbei,8:25,#VALUE!,0
41,Songjiazhuang,#VALUE!,8:00,0
41,Tiantongyuanbei,8:45,#VALUE!,0
42,Songjiazhuang,#VALUE!,8:20,0
42,Tiantongyuanbei,9:05,#VALUE!,0
43,Songjiazhuang,#VALUE!,8:40,0
43,Tiantongyuanbei,9:25,#VALUE!,0
