Train_name,Station_name,Arrive_time,Departure_time,direction
1,Tiantongyuanbei,----,5:20,1
1,Songjiazhuang,6:05,----,1
2,Tiantongyuanbei,#VALUE!,5:30,1
2,Songjiazhuang,6:15,#VALUE!,1
3,Tiantongyuanbei,#VALUE!,5:40,1
3,Songjiazhuang,6:25,#VALUE!,1
4,Tiantongyuanbei,#VALUE!,5:50,1
4,Songjiazhuang,6:35,#VALUE!,1
5,Tiantongyuanbei,#VALUE!,6:00,1
5,Songjiazhuang,6:45,#VALUE!,1
6,Tiantongyuanbei,#VALUE!,6:10,1
6,Songjiazhuang,6:55,#VALUE!,1
7,Tiantongyuanbei,#VALUE!,6:20,1
7,Songjiazhuang,7:05,#VALUE!,1
8,Tiantongyuanbei,#VALUE!,6:30,1
8,Songjiazhuang,7:15,#VALUE!,1
9,Tiantongyuanbei,#VALUE!,6:40,1
9,Songjiazhuang,7:25,#VALUE!,1
10,Tiantongyuanbei,#VALUE!,6:50,1
10,Songjiazhuang,7:35,#VALUE!,1
11,Tiantongyuanbei,#VALUE!,7:00,1
11,Songjiazhuang,7:45,#VALUE!,1
12,Tiantongyuanbei,#VALUE!,7:08,1
12,Songjiazhuang,7:53,#VALUE!,1
13,Tiantongyuanbei,#VALUE!,7:16,1
13,Songjiazhuang,8:01,#VALUE!,1
14,Tiantongyuanbei,#VALUE!,7:24,1
14,Songjiazhuang,8:09,#VALUE!,1
15,Tiantongyuanbei,#VALUE!,7:32,1
15,Songjiazhuang,8:17,#VALUE!,1
16,Tiantongyuanbei,#VALUE!,7:40,1
16,Songjiazhuang,8:25,#VALUE!,1
17,Tiantongyuanbei,#VALUE!,7:48,1
17,Songjiazhuang,8:33,#VALUE!,1
18,Tiantongyuanbei,#VALUE!,7:56,1
18,Songjiazhuang,8:41,#VALUE!,1
19,Tiantongyuanbei,#VALUE!,8:04,1
19,Songjiazhuang,8:49,#VALUE!,1
20,Tiantongyuanbei,#VALUE!,8:12,1
20,Songjiazhuang,8:57,#VALUE!,1
21,Tiantongyuanbei,#VALUE!,8:20,1
21,Songjiazhuang,9:05,#VALUE!,1
22,Tiantongyuanbei,#VALUE!,8:28,1
22,Songjiazhuang,9:13,#VALUE!,1
23,Tiantongyuanbei,#VALUE!,8:36,1
23,Songjiazhuang,9:21,#VALUE!,1
24,Tiantongyuanbei,#VALUE!,8:44,1
24,Songjiazhuang,9:29,#VALUE!,1
25,Tiantongyuanbei,#VALUE!,8:52,1
25,Songjiazhuang,9:37,#VALUE!,1
26,Tiantongyuanbei,#VALUE!,9:00,1
26,Songjiazhuang,9:45,#VALUE!,1
27,Tiantongyuanbei,#VALUE!,9:10,1
27,Songjiazhuang,9:55,#VALUE!,1
28,Tiantongyuanbei,#VALUE!,9:20,1
28,Songjiazhuang,10:05,#VALUE!,1
29,Tiantongyuanbei,#VALUE!,9:30,1
29,Songjiazhuang,10:15,#VALUE!,1
30,Tiantongyuanbei,#VALUE!,9:40,1
30,Songjiazhuang,10:25,#VALUE!,1
31,Tiantongyuanbei,#VALUE!,9:50,1
31,Songjiazhuang,10:35,#VALUE!,1
32,Tiantongyuanbei,#VALUE!,10:00,1
32,Songjiazhuang,10:45,#VALUE!,1
33,Tiantongyuanbei,#VALUE!,10:10,1
33,Songjiazhuang,10:55,#VALUE!,1
34,Tiantongyuanbei,#VALUE!,10:20,1
34,Songjiazhuang,11:05,#VALUE!,1
35,Tiantongyuanbei,#VALUE!,10:30,1
35,Songjiazhuang,11:15,#VALUE!,1
36,Tiantongyuanbei,#VALUE!,10:40,1
36,Songjiazhuang,11:25,#VALUE!,1
37,Tiantongyuanbei,#VALUE!,10:50,1
37,Songjiazhuang,11:35,#VALUE!,1
38,Tiantongyuanbei,#VALUE!,11:00,1
38,Songjiazhuang,11:45,#VALUE!,1
39,Tiantongyuanbei,#VALUE!,11:10,1
39,Songjiazhuang,11:55,#VALUE!,1
40,Tiantongyuanbei,#VALUE!,11:20,1
40,Songjiazhuang,12:05,#VALUE!,1
41,Tiantongyuanbei,#VALUE!,11:30,1
41,Songjiazhuang,12:15,#VALUE!,1
42,Tiantongyuanbei,#VALUE!,11:40,1
42,Songjiazhuang,12:25,#VALUE!,1
43,Tiantongyuanbei,#VALUE!,11:50,1
43,Songjiazhuang,12:35,#VALUE!,1
