0,320,365
1,360,405
2,400,445
3,420,465
4,440,485
5,460,505
6,480,525
7,500,545
8,520,565
9,540,585
10,580,625
11,620,665
12,660,705
13,700,745
14,740,785
15,780,825
16,820,865
17,860,905
18,900,945
19,940,985
20,980,1025
21,1020,1065
22,1040,1085
23,1060,1105
24,1080,1125
25,1100,1145
26,1120,1165
27,1140,1185
28,1180,1225
29,1220,1265
30,1260,1305
31,1300,1345
32,1340,1385
33,1380,1425
34,320,365
35,360,405
36,400,445
37,420,465
38,440,485
39,460,505
40,480,525
41,500,545
42,520,565
43,540,585
44,580,625
45,620,665
46,660,705
47,700,745
48,740,785
49,780,825
50,820,865
51,860,905
52,900,945
53,940,985
54,980,1025
55,1020,1065
56,1040,1085
57,1060,1105
58,1080,1125
59,1100,1145
60,1120,1165
61,1140,1185
62,1180,1225
63,1220,1265
64,1260,1305
65,1300,1345
66,1340,1385
67,1380,1425
