id,earliest_start,lastest_start,minimum_during,first_train_speed_limit,second_train_speed_limit,start_station_name
0,7:00,7:30,120,80,100,哈尔滨西
1,7:30,8:00,120,80,100,双城北
2,8:00,8:30,120,80,100,扶余北
3,8:30,9:00,120,80,100,德惠西
4,9:00,9:30,120,80,100,长
5,9:30,10:00,120,80,100,长西
6,10:00,10:30,120,80,100,公主岭南
7,10:30,11:00,120,80,100,四平东
8,11:00,11:30,120,80,100,昌图西
9,11:30,12:00,120,80,100,开原西
10,12:00,12:30,120,80,100,铁岭西
11,12:30,13:00,120,80,100,沈阳北
12,13:00,13:30,120,80,100,沈阳
13,13:30,14:00,120,80,100,辽阳
14,14:00,14:30,120,80,100,鞍山西
15,14:30,15:00,120,80,100,海城西
16,15:00,15:30,120,80,100,营口东
17,15:30,16:00,120,80,100,盖州西
18,16:00,16:30,120,80,100,鲅鱼圈
19,16:30,17:00,120,80,100,瓦房店西
20,17:00,17:30,120,80,100,普湾
21,17:30,18:00,120,80,100,大连北
