2533.33333333331,600,0
2605.33333333332,2138.66666666704,72
2589.99999999997,2289.99999999795,90
2589.99999999999,2356.66666666667,90
2589.00000000004,2355.66666666667,89
2572.00000000004,2372,72
2566.99999999999,2400.33333333333,67
2576.00000000004,2376,76
2586.99999999964,2387.00000000054,87
2560.00000000001,2385.00000000056,85
2596.99999999983,2397.00000000059,97
2590.00000000003,2456.66666666681,90
2588.99999999998,2439.00000000039,89
2560.00000000001,2418.33333333349,85
2559,2459.00000000005,59
2621.00000000006,2471.00000000005,71
2572.99999999999,2473.00000000004,73
2669.00000000002,2469.00000000014,69
2616.00000000004,2466.00000000005,66
2571.99999999999,2472.00000000024,72
2607,2457.00000000004,57
2602.33333333334,2468.99999999995,69
2560.99999999999,2461.00000000001,61
2695.00000000001,2461.66666666681,95
2562.00000000012,2462,62
2586.99999999993,2487.00000000032,87
2572.99999999999,2472.99999999999,73
2580,2480.00000000016,80
2586.99999999999,2486.99999999997,87
2569.00000000004,2469.00000000005,69
2561.00000000007,2461.00000000024,61
2575.00000000003,2475.0000000001,75
2579.00000000001,2479.00000000024,79
2626.00000000001,2476.00000000029,76
2582.00000000003,2482.00000000007,82
2563.99999999999,2464.00000000035,64
2557.99999999999,2457.99999999996,58
2572.00000000007,2472.00000000015,72
2567.00000000002,2467.00000000006,67
2587.00000000002,2486.99999999997,87
2579.99999999999,2480.00000000016,80
2590.99999999997,2490.99999999997,91
2584.00000000004,2484.00000000029,84
2579.99999999993,2480.00000000007,80
2571.00000000003,2470.99999999968,71
2552,2477.00000000004,77
2552,2552.00000000001,77
