Train_name,Station_name,Arrive_time,Departure_time,direction
1,Tiantongyuanbei,----,5:20,1
1,Songjiazhuang,6:05,----,1
2,Tiantongyuanbei,#VALUE!,7:20,1
2,Songjiazhuang,8:05,#VALUE!,1
3,Tiantongyuanbei,#VALUE!,9:00,1
3,Songjiazhuang,9:45,#VALUE!,1
4,Tiantongyuanbei,#VALUE!,11:00,1
4,Songjiazhuang,11:45,#VALUE!,1
5,Tiantongyuanbei,#VALUE!,13:00,1
5,Songjiazhuang,13:45,#VALUE!,1
6,Tiantongyuanbei,#VALUE!,15:00,1
6,Songjiazhuang,15:45,#VALUE!,1
7,Tiantongyuanbei,#VALUE!,17:00,1
7,Songjiazhuang,17:45,#VALUE!,1
8,Tiantongyuanbei,#VALUE!,18:40,1
8,Songjiazhuang,19:25,#VALUE!,1
9,Tiantongyuanbei,#VALUE!,20:20,1
9,Songjiazhuang,21:05,#VALUE!,1
10,Tiantongyuanbei,#VALUE!,22:00,1
10,Songjiazhuang,22:45,#VALUE!,1
11,Songjiazhuang,----,5:20,0
11,Tiantongyuanbei,6:05,----,0
12,Songjiazhuang,#VALUE!,7:20,0
12,Tiantongyuanbei,8:05,#VALUE!,0
13,Songjiazhuang,#VALUE!,9:00,0
13,Tiantongyuanbei,9:45,#VALUE!,0
14,Songjiazhuang,#VALUE!,11:00,0
14,Tiantongyuanbei,11:45,#VALUE!,0
15,Songjiazhuang,#VALUE!,13:00,0
15,Tiantongyuanbei,13:45,#VALUE!,0
16,Songjiazhuang,#VALUE!,15:00,0
16,Tiantongyuanbei,15:45,#VALUE!,0
17,Songjiazhuang,#VALUE!,17:00,0
17,Tiantongyuanbei,17:45,#VALUE!,0
18,Songjiazhuang,#VALUE!,18:40,0
18,Tiantongyuanbei,19:25,#VALUE!,0
19,Songjiazhuang,#VALUE!,20:20,0
19,Tiantongyuanbei,21:05,#VALUE!,0
20,Songjiazhuang,#VALUE!,22:00,0
20,Tiantongyuanbei,22:45,#VALUE!,0
